symbol,since
GDAL_DCAP_FLUSHCACHE_CONSISTENT_STATE,3.8.0
GDAL_DCAP_GNM,3.8.0
GDAL_DCAP_MEASURED_GEOMETRIES,3.8.0
GDAL_DCAP_MULTIDIM_RASTER,3.8.0
GDAL_DCAP_MULTIPLE_VECTOR_LAYERS,3.8.0
GDAL_DCAP_MULTIPLE_VECTOR_LAYERS_IN_DIRECTORY,3.13.0
GDAL_DCAP_NONSPATIAL,3.8.0
GDAL_DCAP_NOTNULL_FIELDS,3.8.0
GDAL_DCAP_NOTNULL_GEOMFIELDS,3.8.0
GDAL_DCAP_OPEN,3.8.0
GDAL_DCAP_RASTER,3.8.0
GDAL_DCAP_RELATIONSHIPS,3.8.0
GDAL_DCAP_RENAME_LAYERS,3.8.0
GDAL_DCAP_REORDER_FIELDS,3.8.0
GDAL_DCAP_SUBCREATECOPY,3.8.0
GDAL_DCAP_UNIQUE_FIELDS,3.8.0
GDAL_DCAP_UPDATE,3.11.0
GDAL_DCAP_UPDATE_RELATIONSHIP,3.8.0
GDAL_DCAP_UPSERT,3.12.0
GDAL_DCAP_VECTOR,3.8.0
GDAL_DCAP_VIRTUALIO,3.8.0
GDAL_DCAP_Z_GEOMETRIES,3.8.0
GDAL_DIM_TYPE_HORIZONTAL_X,3.8.0
GDAL_DIM_TYPE_HORIZONTAL_Y,3.8.0
GDAL_DIM_TYPE_PARAMETRIC,3.8.0
GDAL_DIM_TYPE_TEMPORAL,3.8.0
GDAL_DIM_TYPE_VERTICAL,3.8.0
GDAL_DMD_ALTER_FIELD_DEFN_FLAGS,3.8.0
GDAL_DMD_ALTER_GEOM_FIELD_DEFN_FLAGS,3.8.0
GDAL_DMD_CONNECTION_PREFIX,3.8.0
GDAL_DMD_CREATIONDATATYPES,3.8.0
GDAL_DMD_CREATIONFIELDDATASUBTYPES,3.8.0
GDAL_DMD_CREATIONFIELDDATATYPES,3.8.0
GDAL_DMD_CREATIONOPTIONLIST,3.8.0
GDAL_DMD_CREATION_FIELD_DEFN_FLAGS,3.8.0
GDAL_DMD_CREATION_FIELD_DOMAIN_TYPES,3.8.0
GDAL_DMD_EXTENSION,3.8.0
GDAL_DMD_EXTENSIONS,3.8.0
GDAL_DMD_GEOMETRY_FLAGS,3.8.0
GDAL_DMD_HELPTOPIC,3.8.0
GDAL_DMD_ILLEGAL_FIELD_NAMES,3.8.0
GDAL_DMD_LONGNAME,3.8.0
GDAL_DMD_MAX_STRING_LENGTH,3.12.0
GDAL_DMD_MIMETYPE,3.8.0
GDAL_DMD_MULTIDIM_ARRAY_CREATIONOPTIONLIST,3.8.0
GDAL_DMD_MULTIDIM_ARRAY_OPENOPTIONLIST,3.8.0
GDAL_DMD_MULTIDIM_ATTRIBUTE_CREATIONOPTIONLIST,3.8.0
GDAL_DMD_MULTIDIM_DATASET_CREATIONOPTIONLIST,3.8.0
GDAL_DMD_MULTIDIM_DIMENSION_CREATIONOPTIONLIST,3.8.0
GDAL_DMD_MULTIDIM_GROUP_CREATIONOPTIONLIST,3.8.0
GDAL_DMD_NUMERIC_FIELD_WIDTH_INCLUDES_DECIMAL_SEPARATOR,3.8.0
